ID,ジャンル,問題,正解,選択肢2,選択肢3,選択肢4,選択肢5,解説,ヒント
R2-07,基準点測量,"次のa ~ c の文は,公共測量において実施するトータルステーション(以下「TS」という。)を用いた基準点測量の誤差などについて述べたものである。ア～エに入る語句の組合せとして最も適当なものはどれか。次の中から選べ。◆a.TSの距離測定において、気温がアと測定距離は短くなり,気圧がイと測定距離は長くなるなど、気象条件の影響を受ける。◆b.TSの距離測定において,距離に比例する誤差にはウによる誤差がある。◆c. TS における水平角の観測の良否は、倍角差及び観測差により判定するが,測量の精度が低下しないように対回内の観測方向数は5方向エとしている。","1. ア:上がる, イ:上がる, ウ:変調周波数の変化, エ:以下","2. ア:上がる, イ:下がる, ウ:位相の変化, エ:以上","3. ア:上がる, イ:下がる, ウ:変調周波数の変化, エ:以下","4. ア:下がる, イ:上がる, ウ:位相の変化, エ:以上","5. ア:下がる, イ:下がる, ウ:位相の変化, エ:以下",ア: 気温が「上がる」と距離は短く測定されます。◆ウ: 比例誤差は「変調周波数」。◆エ: 観測方向数は「5方向以下」。,気温が上がると距離は短く出る。観測方向は欲張らず5つまで。
R2-08,基準点測量,"図8に示す多角測量を行い、表8の観測結果を得た。点Bの方向角T 及びその標準偏差は幾らか。最も近いものの組合せを次の中から選べ。◆1. 69°, 6.2″◆2. 69°, 7.1″◆3. 69°, 7.3″◆4. 81°, 7.1″◆5. 81°, 7.3″","3. 69°, 7.3″","1. 69°, 6.2″","2. 69°, 7.1″","4. 81°, 7.1″","5. 81°, 7.3″","方向角の計算と誤差伝播（分散の加算）。◆計算結果は 69°, 7.3″。",方向角は足し算。誤差は二乗和のルート。
R2-09,基準点測量,"次の文は、公共測量における GNSS 測量機を用いた基準点測量の観測方法について述べたものである。明らかに間違っているものはどれか。次の中から選べ。◆1. スタティック法では,複数の観測点に GNSS 測量機を整置して,GNSS 衛星からの信号を同時に受信し,GNSS 衛星の位置の時間的変化を利用して整数値バイアスを決定することで、観測点間の基線ベクトルを求める。◆2. 短縮スタティック法では、複数の観測点に GNSS 測量機を整置して, GNSS 衛星からの信号を同時に受信し、基線解析において衛星の組合せを多数作るなどの処理を行うことで、観測時間を短縮している。◆3. キネマティック法では,GNSS 衛星からの信号を固定局と移動局で同時に受信し、整数値バイアスの決定に必要な観測を行ってから、移動局を複数の観測点に次々と移動して観測を行い、それに基づき固定局と移動局の間の基線ベクトルを求める。◆4. RTK 法では,GNSS 衛星からの信号を固定局と移動局で同時に受信し、移動局で取得した信号を、無線装置などを用いて固定局に転送し、固定局側において即時に基線解析を行うことで,固定局と移動局の間の基線ベクトルを求める。◆5. ネットワーク型 RTK 法では、配信事業者で算出された補正データ又は面補正パラメータを、携帯電話などの通信回線を介して移動局で受信し、移動局で受信した GNSS 衛星からの信号と組み合わせて、移動局において即時に解析処理を行うことで,位置を求める。","4. RTK 法では,GNSS 衛星からの信号を固定局と移動局で同時に受信し...固定局側において即時に基線解析を行うことで,固定局と移動局の間の基線ベクトルを求める。","1. スタティック法では,複数の観測点に GNSS 測量機を整置して...整数値バイアスを決定することで、観測点間の基線ベクトルを求める。",2. 短縮スタティック法では、複数の観測点に GNSS 測量機を整置して...衛星の組合せを多数作るなどの処理を行うことで、観測時間を短縮している。,"3. キネマティック法では,GNSS 衛星からの信号を固定局と移動局で同時に受信し...移動局を複数の観測点に次々と移動して観測を行い...基線ベクトルを求める。","5. ネットワーク型 RTK 法では、配信事業者で算出された補正データ...を...移動局で受信し...移動局において即時に解析処理を行うことで,位置を求める。",RTK法では、固定局のデータを移動局へ送り、「移動局側」で解析を行います。,RTKは「移動している人」が計算する。
R2-10,基準点測量,"次の文は,日本の準天頂衛星システムなどについて述べたものである。明らかに間違っているものはどれか。次の中から選べ。◆1. 高精度な衛星測位を行うため、電子基準点のデータを利用して補正情報を計算し、現在位置を求めるための情報を準天頂衛星から送信している。◆2. 準天頂衛星システムは,日本における衛星測位の利用可能エリアや利用時間帯を広げる効果がある。◆3. 準天頂衛星から送信される情報は,日本と経度の近いアジアやオセアニア地域でも受信が可能である。◆4. 短縮スタティック法による観測は,1 機の準天頂衛星からの測位信号と4 機の GPS 衛星からの測位信号を同時に受信できれば可能である。◆5. スタティック法による 10km以上の観測を行う場合は,GPS・準天頂衛星及び GLONASS衛星の組合せで5 衛星以上必要である。","4. 短縮スタティック法による観測は,1 機の準天頂衛星からの測位信号と4 機の GPS 衛星からの測位信号を同時に受信できれば可能である。",1. 高精度な衛星測位を行うため、電子基準点のデータを利用して補正情報を計算し、現在位置を求めるための情報を準天頂衛星から送信している。,"2. 準天頂衛星システムは,日本における衛星測位の利用可能エリアや利用時間帯を広げる効果がある。","3. 準天頂衛星から送信される情報は,日本と経度の近いアジアやオセアニア地域でも受信が可能である。","5. スタティック法による 10km以上の観測を行う場合は,GPS・準天頂衛星及び GLONASS衛星の組合せで5 衛星以上必要である。",短縮スタティック法を行うには、衛星数だけでなく観測時間等の条件もあります。またGPS+QZSSの最低衛星数規定（5機以上等）と照らし合わせ、不十分な記述です。,短縮スタティックは衛星数と時間の条件が厳しい。
R2-11,基準点測量,"次のa~ e の文は、公共測量における GNSS 測量機を用いた標高の測量(以下「GNSS 水準測量」という。)について述べたものである。明らかに間違っているものだけの組合せはどれか。次の中から選べ。◆a. GNSS 水準測量では、1級及び2級 GNSS 測量機が使用できる。ただし、2級 GNSS測量機が使用できるのは,10 km 未満の基線の場合のみである。◆b. GNSS 水準測量で使用できる既知点の種類は,一~二等水準点,水準測量により標高が取り付けられた電子基準点及び1~2級水準点である。◆c. GNSS 水準測量では,国土地理院が提供するジオイド・モデルを用いることにより,周辺6~40kmの範囲に2級水準点が設置できる。◆d. GNSS 水準測量では,元期からの地殻変動量が二重に補正されるおそれがあるため,セミ・ダイナミック補正は行わない。◆e. GNSS 衛星が送信している信号の大気遅延が高さ方向の精度に影響することから,寒冷前線・温暖前線が接近又は通過しているときなどは,原則として GNSS観測を行わない。",2. cのみ,"1. a, b","3. c, d",4. eのみ,5. 間違っているものはない,c: GNSS水準測量で設置できるのは「3級水準点」までです。2級は設置できません。◆(※dについて: 問題作成時点の規定や文脈で判断),GNSS水準は「3級」まで。
R2-12,基準点測量,"次の(ア)~(カ)は,水準測量の誤差であり,A ~ E は,それぞれの誤差を軽減又は消去するための対策を述べたものである。水準測量の誤差とその主な対策として最も適当な組合せはどれか。表12の中から選べ。ただし、対策は複数の誤差を軽減又は消去する場合がある。【誤差】(ア)鉛直軸誤差 (イ)標尺の零点誤差 (ウ)視準線誤差 (エ)標尺の目盛誤差 (オ)球差 (カ)三脚の沈下による誤差 【誤差を軽減又は消去するための対策】A. 往路の出発点に立てる標尺と復路の出発点に立てる標尺を交換する。 B.後視,前視,前視,後視の順に観測する。 C.2 本の標尺を結ぶ線上にレベルを置き、進行方向に対し三脚の特定の2 本を常に視準線に平行に設置し,かつそのうちの特定の1 本を常に同一標尺に向ける。 D.2 本の標尺を結ぶ線上にレベルを置き,レベルと前視の標尺及び後視の標尺との距離を等しくする。 E.2本1組の標尺を用いる場合は,水準点又は固定点への到着時の測点数を偶数とする。◆（表12から誤差と対策の正しい組合せを選択する問題）","2. (ア)C, (イ)E, (ウ)D, (エ)A, (オ)D, (カ)B","1. (ア)E, (イ)A, (ウ)C, (エ)B, (オ)E, (カ)D","3. (ア)C, (イ)A, (ウ)D, (エ)D, (オ)E, (カ)B","4. (ア)E, (イ)A, (ウ)C, (エ)A, (オ)D, (カ)B","5. (ア)C, (イ)E, (ウ)D, (エ)A, (オ)B, (カ)D",鉛直軸＝特定脚。零点＝偶数回。視準線＝等距離。,誤差対策のキーワードパズル。
R2-13,基準点測量,"水準点AからEまで水準測量を行い,表13の観測結果を得た。1 km あたりの観測の標準偏差は幾らか。最も近いものを次の中から選べ。◆1. 0.46 mm◆2. 0.54 mm◆3. 0.92 mm◆4. 1.08 mm◆5. 2.16 mm",2. 0.54 mm,1. 0.46 mm,3. 0.92 mm,4. 1.08 mm,5. 2.16 mm,標準偏差計算。◆m = √ [ Σ(U2 / S) / (4n) ]。◆計算結果は 0.54mm。,公式通りに計算するだけ。
R2-14,基準点測量,"次の文は、公共測量における地形測量のうち、トータルステーション(以下「TS」という。)又は GNSS 測量機を用いた現地測量について述べたものである。明らかに間違っているものはどれか。次の中から選べ。◆1. 使用する機器は,3 級 TS 又は 2 級 GNSS 測量機と同等以上のものを使用する。◆2. RTK 法において単点観測法によりTS 点を設置する場合は、作業地域周辺の既知点成果値と観測値の整合を確認する。◆3.地形,地物などの状況により、基準点に TS 又は GNSS 測量機を整置して細部測量を行うことが困難な場合は、適切な場所に TS 点を設置し,その TS 点に基づいて地形,地物などを測定することができる。◆4. 設置する基準点の配点密度は、作成する数値地形図データが地図情報レベル500 で市街地近郊地域の場合,10,000 m2 あたり5点を標準とする。◆5. 現地において実施する補備測量は、基準点,TS点及び編集済データに表現されている確実かつ明確な点に基づいて地形,地物などの測定を行う。",2. RTK 法において単点観測法によりTS 点を設置する場合は、作業地域周辺の既知点成果値と観測値の整合を確認する。,"1. 使用する機器は,3 級 TS 又は 2 級 GNSS 測量機と同等以上のものを使用する。","3.地形,地物などの状況により、基準点に TS 又は GNSS 測量機を整置して細部測量を行うことが困難な場合は、適切な場所に TS 点を設置し,その TS 点に基づいて地形,地物などを測定することができる。","4. 設置する基準点の配点密度は、作成する数値地形図データが地図情報レベル500 で市街地近郊地域の場合,10,000 m2 あたり5点を標準とする。","5. 現地において実施する補備測量は,基準点,TS点及び編集済データに表現されている確実かつ明確な点に基づいて地形,地物などの測定を行う。",TS点設置のような重要点において、RTK（単点観測法）を用いる場合の手順として不十分か、用語の誤りがあります。,TS点設置は重要な工程。簡易な方法で済ませて良いか注意。
R2-15,基準点測量,"トータルステーションを用いて細部測量を実施した。既知点Aから求める点Bを観測し,方位角 T = 25°,距離 S = 190 m を得た。この測量において,距離測定の標準偏差が5.95 mm,角度測定の標準偏差が5″であるとしたとき,求める点Bの位置の標準偏差は幾らか。最も近いものを次の中から選べ。ただし,角度1 ラジアンは,(2×10^5)”とする。◆1. 4.8 mm◆2. 6.0 mm◆3. 6.2 mm◆4. 7.0 mm◆5. 7.6 mm",1.4.8 mm,2. 6.0 mm,3. 6.2 mm,4. 7.0 mm,5. 7.6 mm,位置誤差 M = √( (距離誤差)2 + (横方向誤差)2 )。◆横方向誤差 = 距離 × 角度誤差(ラジアン)。◆計算結果は 7.6mm。,位置誤差は「縦」と「横」の合成。
R2-16,基準点測量,"次の文は、公共測量における地上レーザスキャナを用いた地形測量及び三次元点群データ作成について述べたものである。明らかに間違っているものはどれか。次の中から選べ。◆1. 地上レーザスキャナから同じ水平距離内においては、上り斜面に向けて観測を行った場合より下り斜面に向けて観測を行った場合のほうが,多くの観測点を得ることができる。◆2. 地上レーザスキャナから見た放射方向の座標精度の悪化を補うためには観測点密度を高める必要があり,その方法として同一の場所から器械高を変えて観測することが有効である。◆3. 地上レーザスキャナを用いた地形測量における数値図化では,オリジナルデータから地形,地物などの座標値を取得し、数値図化データを記録する。◆4. 地上レーザスキャナを用いた三次元点群データ作成においては,地上レーザスキャナを用いて観測した三次元観測データから地形を捉えられなかった点を除去する必要がある。◆5. 地上レーザスキャナを用いた三次元点群データ作成においては,反射強度データを使用する必要はない。","1. 地上レーザスキャナから同じ水平距離内においては、上り斜面に向けて観測を行った場合より下り斜面に向けて観測を行った場合のほうが,多くの観測点を得ることができる。","2. 地上レーザスキャナから見た放射方向の座標精度の悪化を補うためには観測点密度を高める必要があり,その方法として同一の場所から器械高を変えて観測することが有効である。","3. 地上レーザスキャナを用いた地形測量における数値図化では,オリジナルデータから地形,地物などの座標値を取得し、数値図化データを記録する。","4. 地上レーザスキャナを用いた三次元点群データ作成においては,地上レーザスキャナを用いて観測した三次元観測データから地形を捉えられなかった点を除去する必要がある。","5. 地上レーザスキャナを用いた三次元点群データ作成においては,反射強度データを使用する必要はない。",下り斜面（逃げる面）はレーザが当たりにくく、データ密度が下がります。上り斜面の方が多く得られます。,レーザは「正対」している面ほどよく測れる。
R2-17,地図・GIS,"次の文は、公共測量における空中写真測量での同時調整について述べたものである。ア～オに入る語句の組合せとして最も適当なものはどれか。次の中から選べ。◆同時調整とは、 アを用いて,パスポイント,タイポイント,標定点の写真座標を測定し、標定点成果及び撮影時にイで取得したデータの解析処理で得られたウの観測データを統合して調整計算を行い、各写真のウの成果値,パスポイント,タイポイントなどの水平位置及び標高を決定する作業である。調整計算は、区域撮影においては原則として、作業地区全域を一つのブロックとしてエにより行うものとし、標定点は、 オに配置することを標準とする。","5. ア:デジタルステレオ図化機, イ:GNSS/IMU装置, ウ:外部標定要素, エ:バンドル法, オ:ブロックの四隅付近と中央部付近","1. ア:デジタルステレオ図化機, イ:GNSS/IMU装置, ウ:外部標定要素, エ:多項式法, オ:ブロック内の各撮影コースの両端付近","2. ア:空中写真用スキャナ, イ:デジタル航空カメラ, ウ:外部標定要素, エ:バンドル法, オ:ブロック内の各撮影コースの両端付近","3. ア:空中写真用スキャナ, イ:GNSS/IMU装置, ウ:内部標定要素, エ:バンドル法, オ:ブロックの四隅付近と中央部付近","4. ア:デジタルステレオ図化機, イ:デジタル航空カメラ, ウ:内部標定要素, エ:多項式法, オ:ブロック内の各撮影コースの両端付近",同時調整＝バンドル法。GNSS/IMUで外部標定要素を測る。標定点は四隅と中央。,同時調整のキーワード。
R2-18,地図・GIS,"標高が200m から 500 m までの範囲にある土地の鉛直空中写真撮影で、撮影範囲全体にわたって同一コース内の隣接空中写真間の重複度が最小で 60 %となるように計画したい。撮影基準面の標高を200mとするとき、撮影基準面における同一コース内の隣接空中写真間の重複度は何%となるか。最も近いものを次の中から選べ。ただし、画面距離7cm,画面の大きさ 17,000 画素× 11,000 画素,撮像面での素子寸法6μmのデジタル航空カメラを使用するものとし、画面短辺が撮影基線と平行であるとする。また、空中写真の撮影は等高度で、撮影基線長は撮影範囲全体にわたって一定であるとし,撮影基準面での地上画素寸法は 15 cm とする。◆1. 57%◆2. 62%◆3. 67%◆4. 72%◆5. 83%",3. 67 %,1. 57 %,2. 62 %,4. 72 %,5. 83 %,高い場所で60%確保。低い場所（基準面）では撮影範囲が広がるため重複度は増える。◆計算結果は 67%。,高い所（500m）で60%なら、低い所（200m）ではもっと重なる。
R2-19,地図・GIS,"次のa ~ e の文は,公共測量における写真地図の作成について述べたものである。明らかに間違っているものだけの組合せはどれか。次の中から選べ。◆a.建物の倒れ込みの影響の少ない写真地図を作成するためには、同一撮影コース内の隣接空中写真との重複度及び隣接コースの空中写真との重複度が、できるだけ小さくなるように撮影計画を立てるとよい。◆b.数値写真は原則として1年以内に撮影されたものを用いることとし、撮影時期,天候,撮影コースと太陽位置との関係などによって現れる色調差や被写体の変化を考慮して用いる。◆c. 正射投影画像は,数値写真を標定し、数値地形モデルを用いて作成する。◆d.数値地形モデルの作成において,すべての河川及び湖沼などの陸水面は地表面に分類し、その標高は、周辺陸域の最近傍値からの内挿処理によって求める。◆e. 数値地形モデルの点検は,デジタルステレオ図化機などを用いて計測された標高点と,抽出された数値地形モデルファイルの標高点を比較して行う。","2. a, d","1. a, c","3. b, d","4. b, e","5. c, e","a: 倒れ込みを減らすには、写真の中心付近を使うため重複度を「大きく」する。◆d: 水面は平らにする（内挿しない）。◆a, dが誤り。",倒れ込み防止＝重複度アップ。水面は平ら。
R2-20,地図・GIS,"次のa ~ e の文は、公共測量における航空レーザ測量について述べたものである。明らかに間違っているものだけの組合せはどれか。次の中から選べ。◆a.コース間標高値の点検は,コース間の重複部分に点検箇所を選定し,コースごとの標高値の比較点検を行う。◆b.レーザ測距装置の位置は、地上に設置した固定局との基線解析をスタティック法により行い求めることができる。◆c.航空レーザ用数値写真の撮影範囲は必要に応じて設定し、計測対象地域の80%を標準とする。◆d.既存データとの整合は,既存データとグラウンドデータとの重複区間を設定して比較及び点検を行い、必要に応じて再計算処理又は再計測などの是正処置を実施する。◆e.フィルタリング点検図は,フィルタリングが適切に行われたか否か、作成されたグラウンドデータの異常の有無について点検するために作成する。","3. b, c","1. a, b","2. a, d","4. c, e","5. d, e","b: 移動体なのでキネマティック法。◆c: 写真は全域（100%）撮る。◆b, cが誤り。",飛行機は動いているからキネマティック。写真は全域。
R2-21,地図・GIS,"図21 は,国土地理院刊行の電子地形図 25000 の一部(縮尺を変更)である。次のa~dの文は、この図に表現されている内容について述べたものである。明らかに間違っているものだけの組合せはどれか。次のページの中から選べ。ただし、a~ d で使用する地図記号及び注記を図21 上で○で囲み、それぞれ①~⑤の番号を付している。◆a.市役所(①)と警察署 (②)との水平距離は500m以上である。◆b.10mを示す標高点 (③)と,東光山の三角点(④)の2 地点間を結んだ斜距離は,1,300mより長い。◆c. 市役所(①)の標高を 13.0 m とすると、市役所(①)と東光山の三角点(④)の2地点間を結んだ傾斜角は10°より大きい。◆d.自然災害伝承碑※(⑤)の経緯度は、およそ東経130°20′48″,北緯32°5′ 19″である。",3. 解答3,1. 解答1,2. 解答2,4. 解答4,5. 解答5,読図計算。記述が図と矛盾する。,距離と傾斜の計算。
R2-22,地図・GIS,"次の文は、国土地理院刊行の1/25,000 地形図で採用されているユニバーサル横メルカトル図法(以下「UTM 図法」という。)について述べたものである。ア～オに入る語句の組合せとして最も適当なものはどれか。次の中から選べ。◆UTM 図法では,地球上の北緯ア度から南緯80 度までの地域をガウス・クリューゲル図法で投影している。UTM 図法では、経度イ度からウ向きに経度幅6 度ずつの座標帯に分割し、順番に1から60 の座標帯番号を付与しており,各座標帯の中央に位置する経線と赤道の交点を,各座標帯における原点としている。各座標帯の原点の座標値を(E,N)で表すと,北半球の地域を表すときは(E, N) = (エ km, 0 km),南半球の地域を表すときは(E, N) = (エ km, オ km)としており,各座標帯のすべての座標値に負の数が現れないようになっている。","3. b, c","1. a, b","2. a, d","4. c, e","5. d, e","UTMの定義：北84度、180度から東へ、X原点500km、南半球Y原点10,000km。",UTMの定義を暗記。
R2-23,地図・GIS,"次のa~ e の文は,GIS で取り扱うデータについて述べたものである。それぞれのデータをベクタデータ、ラスタデータに分類したとき、ラスタデータに該当するものだけの組合せはどれか。次の中から選べ。◆a. デジタル航空カメラで撮影した数値写真を正射変換し,「作業規程の準則」の数値地形図データファイル仕様で規定する地図情報レベル 2500 の図郭割りで切り出したデータ。◆b.複数の点を結ぶ線で表現した道路の中心線データ。各線データには道路種別,路線名称の属性情報が付与されている。◆c. 地表を任意の三角形で分割したデータ(TIN)。それぞれの三角形の各頂点には座標値及び標高値が付与されている。◆d. JIS X 0410 地域メッシュコードで定められた第2 次地域区画(2次メッシュ)について,各区画を四隅座標の点列で表現したデータ。各区画のデータには第 2 次地域区画を示す数字の属性情報が付与されている。◆e. 24bit カラー画像データの画素値(RGB値)で地表面の標高値を表現したデータ。","3. ア:符号化, イ:空間参照, ウ:地理識別子, エ:メタデータ, オ:クリアリングハウス","1. ア:符号化, イ:空間参照, ウ:地理識別子, エ:メタデータ, オ:メタデータ","2. ア:符号化, イ:構造化, ウ:地理識別子, エ:クリアリングハウス, オ:メタデータ","4. ア:クラス化, イ:構造化, ウ:地物カタログ, エ:クリアリングハウス, オ:メタデータ","5. ア:クラス化, イ:構造化, ウ:地理識別子, エ:メタデータ, オ:クリアリングハウス","a, eは画像（グリッド）データなのでラスタ。",画像はラスタ。
R2-24,地図・GIS,"次のa ~ e の文は、国土地理院が整備する基盤地図情報を利用した公共測量の実施などについて述べたものである。明らかに間違っているものだけの組合せはどれか。次の中から選べ。◆a.公共測量に使用する基盤地図情報のメタデータを調べたところ,当該基盤地図情報の整備に A 町の公共測量成果が使用されていた。この場合,A町に対して測量成果の使用承認申請を行わなければならない。◆b.航空レーザ測量成果から作成した5m メッシュの基盤地図情報の数値標高モデルを使用して,地図情報レベル5000の等高線(主曲線間隔:5m)を作成した。◆c.基盤地図情報の等高線から 50mメッシュの数値標高モデルを作成する際には、基盤地図情報のジオイド・モデルによる標高の補正は必要ない。◆d.基盤地図情報の数値標高モデルから, 基盤地図情報の建築物の外周線に建築物の地表面からの高さ情報を付与することはできる。◆e. 都市計画区域内の基盤地図情報を基図として,地図情報レベル5000の地図を編集・作成した。","3. b, d","1. a, b","2. a, e","4. c, d","5. c, e","a: 申請不要。◆d: DTMからは建物の高さは分からない。◆a, dが誤り。",基盤地図情報は申請不要。DTMで建物高さは無理。
R2-25,応用測量,"図25 に示すように、中心杭 No.0 から No.12 に向かう途中で縦断勾配がi1 =- 4 %からi2 =+ 4%に変移する道路がある。自動車運転の安全性の観点から,勾配の変移に伴う衝撃を緩和するため,この道路に縦断曲線を挿入したい。この道路の縦断勾配の変移する箇所が No.5+ 5m のとき,縦断曲線の始点はどこか。最も近いものを次の中から選べ。ただし、道路の設計速度は50 km/h,中心杭間距離は 20mとし,縦断曲線半径R の数値は表 25 を用いる。◆1. No.2+ 9 m◆2. No.3+ 5 m◆3. No.3+ 13 m◆4. No.3+ 17 m◆5. No.4+ 13 m",4. No.3+ 17 m,1. No.2+ 9 m,2. No.3+ 5 m,3. No.3+ 13 m,5. No.4+ 13 m,1. 勾配差 i = 0.08。◆2. 曲線長 L = R i = 700 × 0.08 = 56m。◆3. 始点は変化点から L/2 = 28m 手前。◆   105m - 28m = 77m = No.3 + 17m。,曲線長 L = R i。始点は真ん中から半分戻る。
R2-26,応用測量,"次の文は、公共測量における用地測量について述べたものである。明らかに間違っているものはどれか。次の中から選べ。◆1.公図等の転写は,管轄法務局などに備える公図等に基づき公図等転写図を作成する。また、調査する区域が広範な場合は、公図等転写連続図を作成する。◆2. 権利者確認調査のため,測量計画機関から貸与された資料などを基に権利者調査表を作成する。◆3. 復元測量において、復元杭の設置等を行う場合は、関係権利者への事前説明を実施するものとし、原則として関係権利者による立会いは行わないものとする。◆4. 境界確認は、復元測量の結果,公図等転写図,土地調査表などに基づき、現地において関係権利者立会いの上,境界点を確認し、標杭を設置することにより行う。◆5. 用地境界仮杭設置は,交点計算などで求めた用地境界仮杭の座標値に基づいて, 4 級基準点以上の基準点から放射法又は道路計画中心線と境界線の交点を視通法により行う。","1. 公図等転写連続図の作成において,字界の線形が隣接する公図間で相違し,そのまでは接合が困難な部分があるため、接合部が合致するように字界を編集した。","2. 復元測量において,復元すべき位置に仮杭を設置する場合は、関係権利者への事前説明を実施するが、原則として関係権利者による立会いは行わない。","3. 権利者確認調査のため,測量計画機関から貸与された資料を基に権利者調査表を作成した。","4. 平地における境界点間測量において,隣接する境界点間の距離が 20m 未満であるため,較差の許容範囲を 10mm として...比較を行った。","5. 面積計算は,境界測量の成果に基づき,各筆などの取得用地及び残地の面積を算出し面積計算書を作成する作業であり,原則として座標法により行う。",公図を勝手に編集してはいけません。,公図は勝手に直さない。
R2-27,応用測量,"表27は、面積 1,432.000 m2 の四角形ABCD の土地を構成する各境界点の平面直角座標系(平成14年国土交通省告示第9号)に基づく座標値を示す。公共測量によって,この土地を図27 のように、面積の等しい四角形ABEF 及びFECD の2 つの土地に分割したい。点EをBE=EC となる位置に設置したとき,点Fの Y 座標値は幾らか。最も近いものを次の中から選べ。◆1. +27.629 m◆2. +29.351 m◆3. +31.077 m◆4. +33.357 m◆5. +37.000 m",3. 645.000 m2,1. 639.255 m2,2. 642.510 m2,4. 646.810 m2,5. 648.405 m,等面積分割計算。◆計算結果は Y = 31.077m。,等面積分割。
R2-28,応用測量,"次の文は、公共測量における河川測量について述べたものである。明らかに間違っているものはどれか。次の中から選べ。◆1.距離標設置測量とは,河心線の接線に対して直角方向の両岸の堤防法肩又は法面などに距離標を設置する作業である。◆2.定期横断測量において,陸部の地盤高の測定をネットワーク型 RTK 法によって行う場合は、観測回数は1セット行うものとする。◆3. 定期縦断測量は,原則として,観測の基準とする点は水準基標とし,観測の路線は,水準基標から出発し、他の水準基標に結合するものとする。◆4. 定期縦断測量は,平地においては 3 級水準測量,山地においては原則として 4 級水準測量により行うものとする。◆5.海浜測量とは,海岸線に沿って陸部に基準線を設けて、適切な間隔に測点を設置し,測点ごとに基準線に対し直角の方向に横断測量を実施し,前浜と後浜を含む範囲の横断面図データファイルを作成する作業である。","1. 定期縦断測量では,左岸又は右岸いずれかの距離標の標高並びに堤防の変化点の地盤及び主要な構造物について,距離標からの距離及び標高を測定する。","2. 水準基標測量は,水準基標の標高を定める作業であり,2 級水準測量により行う。","3. 深浅測量の水深の測定は,音響測深機を用いて行う。ただし、水深が浅い場合は,ロッド又はレッドを用いて行う。","4. 定期横断測量は,左右距離標の視通線上の地形の変化点などについて,距離標からの距離及び標高を定期的に測定し、横断面図データファイルを作成するものである。","5. 距離標設置測量では,距離標を設置するために、近傍の3級基準点からネットワーク型RTK 法を用いることができる。",海浜測量の定義として不正確（深浅測量との区分など）。,河川測量の定義。
R1-01,法規等,"次のa~eの文は,測量法(昭和24年法律第 188 号)に規定された事項について述べたものである。明らかに間違っているものだけの組合せはどれか。次の中から選べ。◆a. 公共測量を実施する者は,当該測量において設置する測量標に、公共測量の測量標であること及び測量計画機関の名称を表示しなければならない。◆b. 測量計画機関は,自ら計画した測量を実施してはならない。◆c. 基本測量及び公共測量以外の測量を実施しようとする者は、あらかじめ、国土交通省令で定めるところにより,その旨を国土交通大臣に届け出なければならない。◆d. 基本測量若しくは公共測量に従事する者又はその他の者で、基本測量又は公共測量の測量成果をして、真実に反するものたらしめる行為をした者は、懲役又は罰金に処する。◆e. 基本測量の測量成果及び測量記録の謄本又は抄本の交付を受けようとする者は、国土交通省令で定めるところにより、国土交通大臣に申請をしなければならない。","4. b, e","1. a, c","2. a, d","3. b, d","5. c, e","b: 測量計画機関は、自ら測量を実施すること（直営測量）も可能です。◆e: 測量成果の謄本交付申請先は「国土地理院の長」です。「国土交通大臣」ではありません。◆b, eが誤りです。",計画機関も測量はできる。成果の申請は地理院長へ。
R1-02,基準点測量,"次のa~eの文は,国際地球基準座標系(International Terrestrial Reference Frame)(以下「ITRF」という。)について述べたものである。明らかに間違っているものだけの組合せはどれか。次の中から選べ。◆a. ITRFは,GNSS などの宇宙測地技術を用いた観測に基づき構築・維持されている。◆b. ITRF の X 軸は経度 0 度の子午線と赤道の交点を通る直線である。◆c. ITRF の Y 軸は東経 90 度の子午線と赤道の交点を通る直線である。◆d. ITRF で表される三次元直交座標(X, Y, Z)の Z の値は,標高である。◆e. 日本の測地成果は,ITRF が更新されると連動して更新される。","5. d, e","1. a, c","2. a, e","3. b, c","4. c, d",d: ITRFのZ座標は、地球重心からの直交座標成分であり、「標高」とは異なります。◆e: 日本の測地成果はITRFの更新に自動的に連動しません。,XYZ座標は標高じゃない。成果は勝手に連動して変わらない。
R1-03,地図・GIS,"次の文は,地理情報標準プロファイル(以下「JPGIS」という。)について述べたものである。明らかに間違っているものはどれか。次の中から選べ。◆1. JPGIS は,地理情報に関する国際規格(ISO 規格)及び日本工業規格(JIS 規格)の中から、基本的な要素を抽出し、体系化したものである。◆2. 測量計画機関が公共測量を実施しようとするときは、得ようとする測量成果の製品仕様書を, JPGIS に準拠して作成しなければならない。◆3. JPGIS で定義する概念スキーマは,HTML(Hyper Text Markup Language)を使用して記述する。◆4. JPGIS に準拠して整備されたデータがすべて同じ XML 形式で作成されているわけではない。◆5. 国土地理院が整備した基盤地図情報は, JPGIS に準拠して作成されており,インターネットで無償で提供されている。","3. JPGIS で定義する概念スキーマは,HTML...を使用して記述する。",1. JPGIS は...基本的な要素を抽出し、体系化したものである。,"2. 測量計画機関が...製品仕様書を, JPGIS に準拠して作成しなければならない。",4. JPGIS に準拠して整備されたデータがすべて同じ XML 形式で作成されているわけではない。,5. 国土地理院が整備した基盤地図情報は...インターネットで無償で提供されている。,概念スキーマの記述には「UML（統一モデリング言語）」が用いられます。HTMLではありません。,JPGISのスキーマ記述は「UML」。
